uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotID,subplotID,endDate,boutNumber,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy
"1be45bc7-f9c6-4975-9d20-34b4d30b8e21","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","40.1.1","2017-07-03",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","PIST","Pinus strobus L.","species","Pinaceae","N",,,,,,,7.00,"N",,,"WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
"af1596ed-4ebf-43e9-ba97-b63dc606294f","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","40.1.1","2017-07-03",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","VACO","Vaccinium corymbosum L.","species","Ericaceae","N",,,,,,,9.00,"N",,,"WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
"592ecaf4-b00d-4542-9065-27f2225f216e","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","40.3.1","2017-07-03",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"scat",0.50,,,"Gypsy moth","WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
"a2c870a1-1dbd-4597-bd36-201cc99a5f48","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","32.4.1","2017-07-03",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","MACA4","Maianthemum canadense Desf.","species","Liliaceae","N",,,,,,,3.00,"N",,,"WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
"4afeea31-dc3a-441d-b02a-2cd8056fa882","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","32.4.1","2017-07-03",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","VAPA4","Vaccinium pallidum Aiton","species","Ericaceae","N",,,,,,,5.00,"N",,,"WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
"82be50b3-2b93-4ca8-aa4c-f43bb753a58b","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","40.3.1","2017-07-03",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
"d1b062d9-e639-445a-8741-c6fc594c8fed","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","40.3.1","2017-07-03",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","TRBOB","Trientalis borealis Raf. ssp. borealis","subspecies","Primulaceae","N",,,,,,,2.00,"N",,,"WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
"fbba8925-bb80-401c-be18-7a987250b064","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","32.4.1","2017-07-03",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","ACRU","Acer rubrum L.","species","Aceraceae","N",,,,,,,0.50,"N",,,"WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
"96aff746-8d8b-4d2c-a44a-a7b82478b014","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","32.2.1","2017-07-03",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","TRBOB","Trientalis borealis Raf. ssp. borealis","subspecies","Primulaceae","N",,,,,,,1.00,"N",,,"WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
"36787405-18da-4d9f-9cb6-0e7a8f8ce289","HARV_026.basePlot.div","D01","HARV",42.410787,-72.247263,"WGS84",20.30,193.2,0.3,"HARV_026","32.4.1","2017-07-03",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"WpWHyjh7ZEbsFcxLGlzbonUvwbNLZ84R","Pes0SJTi6mB/L3kaeuPRUby8XD59hvb8"
