"accession","water","microbe","replicate","tray","shelf","rack","fruit","flowering","counter"
"10","D","S",1,"1","A","1",6,31,"JV"
"72","D","L",1,"1","A","1",6,30,"JV"
"52","W","S",1,"1","A","1",21,30,"JV"
"69","D","S",1,"1","A","1",37,10,"JV"
"56","W","L",1,"1","A","1",12,7,"JV"
"68","W","S",1,"1","A","1",23,15,"JV"
"30","W","L",1,"1","A","1",29,15,"JV"
"44","D","S",1,"1","A","1",5,13,"JV"
"49","D","L",1,"1","A","1",17,6,"JV"
"3","D","S",1,"1","A","1",17,19,"JV"
"70","D","L",1,"1","A","1",0,NA,"JV"
"58","D","S",1,"1","A","1",0,NA,"JV"
"33","W","S",1,"1","A","1",20,10,"JV"
"32","W","L",1,"1","A","1",28,8,"JV"
"65","W","S",1,"1","A","1",0,NA,"JV"
"62","D","S",1,"2","A","1",0,NA,"JV"
"50","W","L",1,"2","A","1",0,NA,"JV"
"71","D","S",1,"2","A","1",13,7,"JV"
"44","D","L",1,"2","A","1",13,13,"JV"
"49","D","S",1,"2","A","1",28,5,"JV"
"1","W","L",1,"2","A","1",70,5,"JV"
"42","D","L",1,"2","A","1",18,5,"JV"
"33","D","L",1,"2","A","1",14,8,"JV"
"22","W","S",1,"2","A","1",32,8,"JV"
"10","W","L",1,"2","A","1",0,NA,"JV"
"54","W","S",1,"2","A","1",29,11,"JV"
"21","W","S",1,"2","A","1",23,10,"JV"
"9","D","L",1,"2","A","1",27,10,"JV"
"11","W","L",1,"2","A","1",0,NA,"JV"
"63","W","L",1,"2","A","1",37,26,"JV"
"32","D","L",1,"3","A","1",10,8,"JV"
"62","W","L",1,"3","A","1",0,NA,"JV"
"68","D","L",1,"3","A","1",21,10,"JV"
"58","W","S",1,"3","A","1",23,27,"JV"
"69","D","L",1,"3","A","1",24,6,"JV"
"64","D","S",1,"3","A","1",16,14,"JV"
"55","D","S",1,"3","A","1",30,4,"JV"
"21","W","L",1,"3","A","1",18,8,"JV"
"41","D","L",1,"3","A","1",13,15,"JV"
"43","W","S",1,"3","A","1",83,7,"JV"
"8","D","S",1,"3","A","1",16,5,"JV"
"50","W","S",1,"3","A","1",12,18,"JV"
"21","D","L",1,"3","A","1",20,8,"JV"
"47","D","S",1,"3","A","1",21,8,"JV"
"19","D","S",1,"3","A","1",4,33,"JV"
"38","W","L",1,"4","A","1",46,4,"JV"
"55","W","S",1,"4","A","1",50,5,"JV"
"63","D","S",1,"4","A","1",14,18,"JV"
"67","W","L",1,"4","A","1",43,4,"JV"
"61","W","S",1,"4","A","1",0,40,"JV"
"51","D","S",1,"4","A","1",6,20,"JV"
"67","W","S",1,"4","A","1",33,7,"JV"
"30","W","S",1,"4","A","1",49,18,"JV"
"67","D","L",1,"4","A","1",34,5,"JV"
"70","D","S",1,"4","A","1",12,10,"JV"
"42","W","L",1,"4","A","1",50,5,"JV"
"10","W","S",1,"4","A","1",15,19,"JV"
"22","W","L",1,"4","A","1",40,6,"JV"
"19","W","S",1,"4","A","1",9,15,"JV"
"3","W","S",1,"4","A","1",22,23,"JV"
"9","W","S",1,"5","B","1",29,7,"JV"
"11","D","S",1,"5","B","1",70,18,"JV"
"70","W","S",1,"5","B","1",22,13,"JV"
"10","D","L",1,"5","B","1",13,14,"JV"
"32","D","S",1,"5","B","1",14,9,"JV"
"60","W","S",1,"5","B","1",27,4,"JV"
"12","W","S",1,"5","B","1",28,20,"JV"
"41","D","S",1,"5","B","1",0,NA,"JV"
"60","W","L",1,"5","B","1",68,7,"JV"
"73","D","L",1,"5","B","1",0,NA,"JV"
"73","W","L",1,"5","B","1",0,NA,"JV"
"47","W","S",1,"5","B","1",67,8,"JV"
"49","W","L",1,"5","B","1",34,4,"JV"
"58","D","L",1,"5","B","1",15,22,"JV"
"38","D","S",1,"5","B","1",30,4,"JV"
"71","W","S",1,"6","B","1",28,5,"JV"
"54","W","L",1,"6","B","1",63,5,"JV"
"56","D","S",1,"6","B","1",16,5,"JV"
"61","D","L",1,"6","B","1",0,NA,"JV"
"68","W","L",1,"6","B","1",16,10,"JV"
"12","W","L",1,"6","B","1",30,4,"JV"
"51","W","S",1,"6","B","1",3,37,"JV"
"43","D","S",1,"6","B","1",18,4,"JV"
"22","D","S",1,"6","B","1",26,4,"JV"
"3","W","L",1,"6","B","1",24,17,"JV"
"62","W","S",1,"6","B","1",0,NA,"JV"
"9","W","L",1,"6","B","1",17,9,"JV"
"1","W","S",1,"6","B","1",31,8,"JV"
"8","D","L",1,"6","B","1",8,5,"JV"
"1","D","L",1,"6","B","1",49,5,"JV"
"3","D","L",1,"7","B","1",16,12,"JV"
"54","D","L",1,"7","B","1",26,4,"JV"
"72","W","L",1,"7","B","1",20,14,"JV"
"47","W","L",1,"7","B","1",25,7,"JV"
"44","W","S",1,"7","B","1",6,25,"JV"
"41","W","L",1,"7","B","1",0,NA,"JV"
"67","D","S",1,"7","B","1",20,5,"JV"
"11","W","S",1,"7","B","1",25,22,"JV"
"33","D","S",1,"7","B","1",11,5,"JV"
"8","W","L",1,"7","B","1",16,7,"JV"
"15","W","L",1,"7","B","1",21,4,"JV"
"42","W","S",1,"7","B","1",49,5,"JV"
"37","D","S",1,"7","B","1",11,5,"JV"
"69","W","L",1,"7","B","1",28,4,"JV"
"41","W","S",1,"7","B","1",0,NA,"JV"
"22","D","L",1,"8","B","1",20,10,"JV"
"52","W","L",1,"8","B","1",30,11,"JV"
"73","D","S",1,"8","B","1",0,NA,"JV"
"43","W","L",1,"8","B","1",38,4,"JV"
"71","W","L",1,"8","B","1",18,10,"JV"
"60","D","S",1,"8","B","1",16,5,"JV"
"54","D","S",1,"8","B","1",33,4,"JV"
"50","D","L",1,"8","B","1",11,10,"JV"
"37","W","S",1,"8","B","1",55,4,"JV"
"63","D","L",1,"8","B","1",20,12,"JV"
"65","D","S",1,"8","B","1",0,NA,"JV"
"30","D","L",1,"8","B","1",13,10,"JV"
"9","D","S",1,"8","B","1",17,8,"JV"
"66","D","S",1,"8","B","1",24,6,"JV"
"73","W","S",1,"8","B","1",0,NA,"JV"
"19","D","L",1,"9","C","1",0,NA,"JV"
"65","D","L",1,"9","C","1",0,NA,"JV"
"62","D","L",1,"9","C","1",0,NA,"JV"
"58","W","L",1,"9","C","1",27,31,"JV"
"12","D","S",1,"9","C","1",0,NA,"JV"
"49","W","S",1,"9","C","1",0,NA,"JV"
"60","D","L",1,"9","C","1",10,4,"JV"
"37","D","L",1,"9","C","1",28,6,"JV"
"64","D","L",1,"9","C","1",20,10,"JV"
"11","D","L",1,"9","C","1",16,16,"JV"
"50","D","S",1,"9","C","1",6,17,"JV"
"45","D","S",1,"9","C","1",16,4,"JV"
"47","D","L",1,"9","C","1",10,5,"JV"
"66","W","L",1,"9","C","1",39,8,"JV"
"70","W","L",1,"9","C","1",26,9,"JV"
"19","W","L",1,"10","C","1",0,NA,"JV"
"21","D","S",1,"10","C","1",19,11,"JV"
"8","W","S",1,"10","C","1",30,4,"JV"
"63","W","S",1,"10","C","1",41,18,"JV"
"12","D","L",1,"10","C","1",15,10,"JV"
"64","W","S",1,"10","C","1",39,10,"JV"
"69","W","S",1,"10","C","1",45,10,"JV"
"15","D","L",1,"10","C","1",23,4,"JV"
"30","D","S",1,"10","C","1",13,14,"JV"
"38","W","S",1,"10","C","1",14,5,"JV"
"45","W","S",1,"10","C","1",26,4,"JV"
"51","D","L",1,"10","C","1",3,36,"JV"
"15","D","S",1,"10","C","1",10,8,"JV"
"55","W","L",1,"10","C","1",7,19,"JV"
"72","D","S",1,"10","C","1",8,26,"JV"
"44","W","L",1,"11","C","1",14,10,"JV"
"56","W","S",1,"11","C","1",37,6,"JV"
"32","W","S",1,"11","C","1",26,8,"JV"
"65","W","L",1,"11","C","1",0,NA,"JV"
"51","W","L",1,"11","C","1",0,NA,"JV"
"71","D","L",1,"11","C","1",10,11,"JV"
"66","D","L",1,"11","C","1",15,11,"JV"
"33","W","L",1,"11","C","1",19,13,"JV"
"61","D","S",1,"11","C","1",0,NA,"JV"
"52","D","S",1,"11","C","1",8,20,"JV"
"72","W","S",1,"11","C","1",0,NA,"JV"
"42","D","S",1,"11","C","1",15,8,"JV"
"38","D","L",1,"11","C","1",17,4,"JV"
"68","D","S",1,"11","C","1",13,10,"JV"
"56","D","L",1,"11","C","1",14,6,"JV"
"61","W","L",1,"12","C","1",6,31,"JV"
"52","D","L",1,"12","C","1",9,31,"JV"
"45","W","L",1,"12","C","1",24,5,"JV"
"37","W","L",1,"12","C","1",17,7,"JV"
"64","W","L",1,"12","C","1",5,17,"JV"
"55","D","L",1,"12","C","1",0,NA,"JV"
"15","W","S",1,"12","C","1",32,6,"JV"
"43","D","L",1,"12","C","1",11,7,"JV"
"45","D","L",1,"12","C","1",3,14,"JV"
"1","D","S",1,"12","C","1",18,16,"JV"
"66","W","S",1,"12","C","1",33,9,"JV"
"51","W","S",2,"13","A","2",17,30,"JV"
"32","W","S",2,"13","A","2",36,10,"JV"
"51","D","S",2,"13","A","2",9,21,"JV"
"21","W","S",2,"13","A","2",0,NA,"JV"
"47","D","L",2,"13","A","2",15,9,"JV"
"70","W","S",2,"13","A","2",29,14,"JV"
"9","D","L",2,"13","A","2",36,13,"JV"
"67","D","L",2,"13","A","2",50,6,"JV"
"22","W","S",2,"13","A","2",28,4,"JV"
"12","D","L",2,"13","A","2",8,10,"JV"
"61","W","L",2,"13","A","2",0,39,"JV"
"50","D","L",2,"13","A","2",12,10,"JV"
"56","W","L",2,"13","A","2",13,5,"JV"
"71","W","L",2,"13","A","2",28,10,"JV"
"21","D","L",2,"13","A","2",19,8,"JV"
"54","D","L",2,"14","A","2",20,9,"JV"
"72","D","L",2,"14","A","2",5,31,"JV"
"49","D","L",2,"14","A","2",13,10,"JV"
"41","D","S",2,"14","A","2",0,NA,"JV"
"50","D","S",2,"14","A","2",1,20,"JV"
"41","D","L",2,"14","A","2",0,NA,"JV"
"38","W","S",2,"14","A","2",49,9,"JV"
"66","D","S",2,"14","A","2",11,12,"JV"
"58","D","S",2,"14","A","2",3,33,"JV"
"3","W","S",2,"14","A","2",46,21,"JV"
"37","W","S",2,"14","A","2",80,8,"JV"
"73","W","S",2,"14","A","2",0,NA,"JV"
"8","D","L",2,"14","A","2",44,6,"JV"
"15","W","S",2,"14","A","2",49,6,"JV"
"54","W","S",2,"14","A","2",124,9,"JV"
"42","D","L",2,"15","A","2",21,4,"JV"
"38","W","L",2,"15","A","2",26,5,"JV"
"67","W","S",2,"15","A","2",38,12,"JV"
"30","W","L",2,"15","A","2",7,33,"JV"
"19","D","L",2,"15","A","2",8,28,"JV"
"33","D","L",2,"15","A","2",14,9,"JV"
"64","W","S",2,"15","A","2",16,18,"JV"
"11","W","S",2,"15","A","2",6,34,"JV"
"12","W","L",2,"15","A","2",16,6,"JV"
