"latitude"	"longitude"	"sexual_system"	"immersion"	"density"	"pop_size"	"plant_gender"	"plant_size"	"pop"	"ind"	"leaf_damage"
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	41	"ACT-ON"	4	2
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	43	"ACT-ON"	6	3
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	17.5	"ACT-ON"	18	4
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	37	"ACT-ON"	2	7
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	48	"ACT-ON"	3	7
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	39.5	"ACT-ON"	12	8
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	51	"ACT-ON"	16	9
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	55.5	"ACT-ON"	15	10
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	38	"ACT-ON"	10	15
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	31	"ACT-ON"	19	19
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	38	"ACT-ON"	9	19
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	43	"ACT-ON"	5	21
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	56	"ACT-ON"	13	24
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	38	"ACT-ON"	11	34
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	59	"ACT-ON"	1	35
44.54829	-77.32384	"Dioecious"	2	2	2	"Female"	33	"ACT-ON"	20	43
45.65726	-77.56667	"Subdioecious"	3	1	1	"Female"	43.5	"BPV-ON"	12	0
45.65726	-77.56667	"Subdioecious"	3	1	1	"Female"	42.5	"BPV-ON"	3	5
45.65726	-77.56667	"Subdioecious"	3	1	1	"Female"	62	"BPV-ON"	16	5
45.65726	-77.56667	"Subdioecious"	3	1	1	"Female"	62	"BPV-ON"	7	12
45.65726	-77.56667	"Subdioecious"	3	1	1	"Female"	67	"BPV-ON"	14	14
44.82426	-76.09254	"Dioecious"	2	3	1	"Female"	55.5	"BSM-ON"	2	0
44.82426	-76.09254	"Dioecious"	2	3	1	"Female"	48.5	"BSM-ON"	3	2
44.18428	-76.77471	"Subdioecious"	2	3	2	"Female"	61	"BTC-ON"	6	3
44.18428	-76.77471	"Subdioecious"	2	3	2	"Female"	73	"BTC-ON"	7	5
44.18428	-76.77471	"Subdioecious"	2	3	2	"Female"	68	"BTC-ON"	8	5
44.18428	-76.77471	"Subdioecious"	2	3	2	"Female"	47	"BTC-ON"	9	7
44.18428	-76.77471	"Subdioecious"	2	3	2	"Female"	78	"BTC-ON"	5	10
44.18428	-76.77471	"Subdioecious"	2	3	2	"Female"	70.5	"BTC-ON"	2	14
44.18428	-76.77471	"Subdioecious"	2	3	2	"Female"	88.5	"BTC-ON"	16	30
44.67114	-77.06174	"Dioecious"	2	2	2	"Female"	31.5	"CFR-ON"	10	1
44.67114	-77.06174	"Dioecious"	2	2	2	"Female"	47.5	"CFR-ON"	3	1
44.67114	-77.06174	"Dioecious"	2	2	2	"Female"	56.5	"CFR-ON"	6	2
45.32559	-77.58759	"Dioecious"	2	3	1	"Female"	68.5	"CGM-ON"	2	1
