Genotype,cyanide,linamarin,linamarase,VegBiomass,LatSpread,FrstFlwr,BnrLgth,BnrWdt,InflHt,InflWdt,InflNum,FlwrCt,SeedBm,AvgDMG1,AvgDMG2,VegGrowth,RFSeed,FrstFlwr.T,InflHt.T,SeedBm.T,InflNum.T,AvgDmg1.T,AvgDmg2.T,VegGrowth.T,VegBiomass.T,LatSpread.T,FlwrCt.S,BnrLgth.S,BnrWdt.S,InflHt.S,InflWdt.S,FrstFlwr.S,SeedBm.S,InflNum.S,AvgDmg1.S,AvgDmg2.S,VegGrowth.S
2,1,1,1,1.1684,283.5,2.2,6.32625,3.56875,23.2175,22.6725,4.2,32.75,0.03,43.26,21.37,-1.121777958664726,0.9282120989667508,1.4832396974191326,539.05230625,0.17320508075688773,1.6486586255873816,6.577233460962139,4.622769732530488,0.7926045933094723,1.0809255293497328,16.837458240482736,-0.5186606816861036,0.9857000334448635,0.9161683024141338,0.7190551770848992,0.838946018918761,-1.5463990331412947,0.0811420624423413,0.9443150092107783,0.6670230064541063,-0.2942535116889897,-1.1891821029954128
4,1,1,1,4.421,995.4,11.25,6.4725,3.7,20.62,17.72833333,4,29.5,0.038625,21.95,17.55,0.8856596953799585,1.1950730774196918,3.3541019662496847,425.18440000000004,0.19653244007033546,1.6094379124341003,4.685082710048992,4.189272013130682,1.623471495093141,2.10261741645978,31.549960380323775,-0.8457821730797526,1.2876965135915532,1.4122392214512363,-0.3496319645232579,-0.8061030752497989,0.3422440933281702,0.44458766827882384,0.8582522906782785,-1.2969043457658245,-0.8715946862472661,0.9123937979928815
5,0,1,0,0.795,298,7.666666667,5.7125,2.96125,20.095,21.4425,3,21.5,0.004375,43.175,24.45,-1.2343861288475397,0.13536426443265118,2.7688746210328845,403.80902499999996,0.06614378277661477,1.3862943611198906,6.570768600399804,4.944694126030447,0.7180625816406675,0.8916277250063505,17.26267650163207,-1.6510043057410426,-0.28165271657243907,-1.3799313799861672,-0.55024677480526,0.4296939607094591,-0.2485453097082061,-1.5868975035984294,0.36860436984513745,0.6603129087092352,0.13449201370744776,-1.3777269770276397
6,0,1,0,4.4474,1019.45,32,5.4225,3.2225,25.135,25.01,1,59.25,0.01496,21.72,15.92,0.9243303437957974,0.46286843335141975,5.656854249492381,631.768225,0.12231107881136524,0.6931471805599453,4.6604720790924175,3.9899874686520005,1.6353379906905476,2.108885961829136,31.928827100286664,2.1486376327544194,-0.8804833438718574,-0.3925140268551735,1.5892240723745819,1.6166912921417234,2.666881959068403,-0.7117981551788746,-1.1523809949285129,-1.3224485532068442,-1.1370059394827654,0.9424086428773712
8,0,0,1,1.17575,271,8.5,5.565,3.35,14.93,15.37,1.75,56,0.025875,30.1625,37.3375,-1.1345203354965654,0.8005829353588226,2.9154759474226504,222.9049,0.1608570794214541,1.0116009116784799,5.492039693957064,6.110441882548266,0.7845251203775662,1.0843200634499022,16.46207763315433,1.8215161413607703,-0.5862303632161087,0.08938343735229692,-2.2480905186509914,-1.5907801234173577,-0.10055067000102451,-0.11124262910906076,-0.4535922268669147,-0.4593363602355281,1.6870588413219403,-1.2096181386226956
9,1,1,1,2.7016,887.8,6.8,5.88625,3.29375,19.71166667,19.39166667,3.4,35.44444444,0.03092,27.4,20.24,0.15358591819618717,0.9566772700017312,2.6076809620810595,388.5498029091889,0.17584083712266613,1.4816045409242156,5.2345009313209605,4.498888751680797,1.3797050112963232,1.6436544649043485,29.795972882253736,-0.24745739439683437,0.07712942650781601,-0.12321838509217507,-0.6934595111805978,-0.2526700729057734,-0.4112709689306387,0.12220775086106662,0.5777452170735948,-0.7266445649088761,-0.4592407487342419,0.2958163814219769
10,0,1,0,2.4684,764.15,5.5,6.425,3.2,24.4075,18.5025,2.2,38.66666667,0.03344,44.50666667,22.36,-0.07926343248987952,1.0346470863149382,2.345207879911715,595.7260562499999,0.18286607121059936,1.1631508098056809,6.671331701392159,4.728636167014756,1.2925697534408425,1.571114254279427,27.64326319376929,0.0768681875968178,1.189612186706303,-0.4775547558329623,1.2509566573732944,-0.5485182759859443,-0.6762386208958759,0.23166250846666003,-0.12104355098800358,0.7646907573387004,-0.15325841783689625,0.0754184360442488
11,0,1,0,2.23125,798,5.666666667,5.575,2.945,19.76,18.3,1.5,39,0.02535,26.15,21.3,-0.12060475845706704,0.7843392236269046,2.380476142917631,390.45760000000007,0.15921683328090658,0.9162907318741551,5.113707070218238,4.61519230368573,1.2764776698175855,1.4937369246289656,28.24889378365107,0.1104191094555292,-0.565581031240267,-1.4413496842479048,-0.6755542182241169,-0.6158951392277198,-0.640635164875419,-0.13679804000070794,-0.6627330740953715,-0.852020604680234,-0.3043452872014908,0.03471548462480402
13,0,1,0,1.83,727.75,27,5.4325,3.13125,13.145,16.03,1.8,24.66666667,0.02194,38,17.09,-0.34672789408362537,0.6788324483776839,5.196152422706632,172.791025,0.1481215716902842,1.0296194171811583,6.164414002968976,4.1340053217188775,1.1845978667532602,1.3527749258468684,26.97684192043242,-1.3322705445604393,-0.8598340118960158,-0.73740142770954,-2.7184254496461637,-1.371181458036756,2.2018015771465858,-0.30966475914080965,-0.41405389513406665,0.23854370865496682,-0.9452000020441258,-0.19768320581889307
15,0,0,1,4.9618,1298.8,15.8,6.19,3.544,22.22625,23.5925,12.6,46.06666667,0.11294,38.4,18.98,1.4460383928283114,3.4944091485768283,3.9749213828703582,494.0061890625,0.3360654698120591,2.6100697927420065,6.196773353931867,4.356604182158393,1.7877467362096655,2.2275098204048396,36.03886790674757,0.8216986603085108,0.704352885274017,0.8226235005385658,0.2962827928104193,1.1450532494492962,0.9689638382895853,2.6185442592181976,3.053956880062585,0.2721305750425613,-0.6487382635154467,1.3279078678377505
