siteID,country,year,lat,long,marPOS,PfEX,gdp,WDIregion,WHOregion,PfPR,total.abundance,SR,percent
2,Madagascar,1991,-18.58,47.15,23,48,448.0355093,Eastern Africa,Africa,0.479166667,0.145686909,2,1
3,Madagascar,1989,-18.95,47.57,25,62,491.4355261,Eastern Africa,Africa,0.403225806,118.9660198,1,0.333333333
4,Madagascar,1997,-19.4,46.72,580,1909,414.7742537,Eastern Africa,Africa,0.303823992,39.94314602,2,0.333333333
7,Kenya,1998,-3.07,40.14,51,100,855.0818286,Eastern Africa,Africa,0.51,201.9725175,4,1
8,Kenya,1998,-3.13,40.11,69,101,855.0818286,Eastern Africa,Africa,0.683168317,202.8294379,4,1
9,Kenya,1998,-3.14,40.14,60,100,855.0818286,Eastern Africa,Africa,0.6,200.5822147,4,1
10,Kenya,1998,-3.21,40.07,49,100,855.0818286,Eastern Africa,Africa,0.49,203.6217999,3,1
11,Kenya,1998,-3.26,40.01,67,100,855.0818286,Eastern Africa,Africa,0.67,196.8772455,3,1
12,Kenya,1998,-3.29,40.08,59,100,855.0818286,Eastern Africa,Africa,0.59,202.6825175,3,1
13,Kenya,1998,-3.34,40,40,99,855.0818286,Eastern Africa,Africa,0.404040404,194.9104229,2,1
14,Kenya,1998,-3.53,39.78,69,99,855.0818286,Eastern Africa,Africa,0.696969697,202.0763041,2,1
15,Kenya,1998,-3.54,39.61,73,100,855.0818286,Eastern Africa,Africa,0.73,204.3535139,3,1
16,Kenya,1998,-3.59,39.53,72,100,855.0818286,Eastern Africa,Africa,0.72,203.324865,3,1
17,Kenya,1998,-3.63,39.73,53,98,855.0818286,Eastern Africa,Africa,0.540816327,205.2243983,4,1
18,Kenya,1998,-3.67,39.75,76,101,855.0818286,Eastern Africa,Africa,0.752475248,202.6983479,3,1
19,Kenya,1998,-3.68,39.85,57,100,855.0818286,Eastern Africa,Africa,0.57,198.5154037,3,1
20,Kenya,1998,-3.73,39.7,40,100,855.0818286,Eastern Africa,Africa,0.4,205.3764645,1,1
21,Kenya,1998,-3.73,39.8,62,101,855.0818286,Eastern Africa,Africa,0.613861386,202.0250468,4,1
22,Kenya,1998,-3.7,39.73,70,100,855.0818286,Eastern Africa,Africa,0.7,206.3674447,2,1
23,Kenya,1998,-3.79,39.82,57,100,855.0818286,Eastern Africa,Africa,0.57,201.5500176,1,1
24,Kenya,1998,-3.92,39.77,65,100,855.0818286,Eastern Africa,Africa,0.65,194.9217999,3,1
25,Kenya,1998,-3.9,39.73,83,99,855.0818286,Eastern Africa,Africa,0.838383838,197.7376686,3,1
26,Kenya,1998,-3,40.2,82,100,855.0818286,Eastern Africa,Africa,0.82,201.6029205,4,1
