Record number	In-ref ID	Individual ID	Predator	Predator common name	Predator  taxon	Predator lifestage	Type of feeding interaction	Predator length	Predator length unit	Predator dimension measured	Predator standard length	Predator fork length	Predator total length	Predator TL/FL/SL conversion reference	Standardised predator length	Predator measurement type	Predator length-mass conversion method	Predator length-mass conversion reference	Predator quality of length-mass conversion	Predator mass	Predator mass unit	Predator mass check	Predator mass check diff	Predator ratio mass/mass	SI predator mass	Diet coverage	Prey	Prey common name	Prey taxon	Prey length	Prey length unit	Prey conversion to length method	Prey quality of conversion to length	Prey conversion to length reference	SI prey length	Prey dimension measured	Prey width	Prey width unit	Prey measurement type	Prey mass	Prey mass unit	Prey mass check	Prey mass check diff	Prey ratio mass/mass	SI prey mass	Prey conversion to mass method	Prey conversion to mass reference	Prey quality of conversion to mass	Geographic location	Latitude	Longitude	Depth	Mean annual temp	SD annual temp	Mean PP	SD PP	Reference	Specific habitat	Notes / assumptions
1430	89237	378	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	131	cm	curved fork length	124.19	131	140.83	Fishbase (species)	131	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	37643	g	117650	80007	3.1254	37643	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	13	cm	n/a	0	n/a	13	total length	n/a	n/a	individual	5.9691	g	114.98	109.01	19.262	5.9691	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Great Channel South, Gulf of Maine, New England	41º71'N	69º76'W	12	10.4	5.7	1045	105	Chase, B.C. (2002)	Shelf	None
27342	n/a	15043	Mustelus canis	Smooth dogfish	ectotherm vertebrate	adult	predacious	990	mm	total length	841.12	0	990	Fishbase (species)	99	individual	M=0.0023TL^3.1	van der Elst (1981)	1	3533.4	g	50779	47246	14.371	3533.4	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	60	mm	n/a	0	n/a	6	total length	n/a	n/a	individual	4.8993	g	11.304	6.4047	2.3072	4.8993	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
7798	n/a	1637	Paralichthys oblongus	Fourspot flounder	ectotherm vertebrate	adult	predacious	220	mm	total length	0	0	220	n/a	22	individual	M=0.0075*TL^3.1272	Froese and Pauly (2007)	3	118.33	g	557.25	438.92	4.7094	118.33	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	42	mm	n/a	0	n/a	4.2	total length	n/a	n/a	individual	1.621	g	3.8773	2.2563	2.3919	1.621	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
17301	Sami 42	7005	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	75	cm	standard length	75	79.031	84.525	Fishbase (species)	84.525	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	8371.4	g	31603	23232	3.7752	8371.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.1444	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.1444	mass	n/a	n/a	individual	0.44657	g	3.7253	3.2788	8.3421	0.44657	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
3650	n/a	797	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	piscivorous	137	cm	standard length	137	141.82	157.14	Fishbase (species)	157.14	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	48420	g	203060	154640	4.1938	48420	all	fish	fish	ectotherm vertebrate	4.1	cm	n/a	0	n/a	4.1	Standard length	n/a	n/a	individual	0.68921	g	3.6069	2.9177	5.2333	0.68921	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
25809	n/a	13700	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	680	mm	total length	0	603.16	680	Fishbase (species)	68	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	1203.6	g	16455	15252	13.672	1203.6	all	fish unidentified	fish	ectotherm vertebrate	165	mm	n/a	0	n/a	16.5	total length	n/a	n/a	individual	44.921	g	235.09	190.17	5.2333	44.921	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
29846	n/a	15964	Pollachius virens	Saithe	ectotherm vertebrate	adult	piscivorous	100	cm	total length	82.5	87.9	100	Fishbase (species)	100	individual	M=0.0103SL^2.9630	Bedford et al. (1986)	1	4912.4	g	52333	47421	10.653	4912.4	fish	Sardina pilchardus	Pilchard	ectotherm vertebrate	20	cm	n/a	0	n/a	20	total length	n/a	n/a	individual	59.375	g	418.67	359.29	7.0513	59.375	M=0.0059*L^3.0766	Dorel (1986)	1	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
30497	5258	16225	Pleuragramma antarcticum	Antarctic Silverfish	ectotherm vertebrate	postlarva/juvenile	planktivorous	17.9	mm	standard length	17.9	19.064	19.905	Fishbase (species)	1.9905	individual	M=0.0045SL^3.25	Kunzmann (1986)	1	0.029853	g	0.41272	0.38286	13.825	0.029853	all	calanoid egg	copepod egg	egg	0.16	mm	n/a	0	n/a	0.016	external diameter	n/a	n/a	individual	6.448e-7	g	2.1436e-7	-4.3044e-7	0.33244	6.448e-7	M=0.000068283D-0.00000044773	Huntley & Lopez (1992)	4	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1987)	Seasonal Pack Ice Zone	None
4311	n/a	839	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	piscivorous	129	cm	standard length	129	133.54	147.96	Fishbase (species)	147.96	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	40486	g	169530	129040	4.1873	40486	all	fish	fish	ectotherm vertebrate	2	cm	n/a	0	n/a	2	Standard length	n/a	n/a	individual	0.08	g	0.41867	0.33867	5.2333	0.08	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
34060	n/a	NA	Dicentrarchus labrax	European sea bass	ectotherm vertebrate	juvenile	predacious	28	mm	total length	0	0	28	n/a	2.8	mid-class	M=0.0123TL^2.9554	Dorel (1986)	1	0.25789	g	1.1488	0.89093	4.4547	0.25789	Mysids	Schistomysis spiritus	mysid	ectotherm invertebrate	2.8575	mm	n/a	0	n/a	0.28575	total length	n/a	n/a	individual	1.007e-4	g	0.0012211	0.0011204	12.126	1.007e-4	M=0.00000339*(L*10)^3.23	Morris et al (1988)	4	Oxwich Bay, Wales	51º52'N	04º10'W	8	12.2	3.9	1399	NA	Lancaster (1991)	estuary/coastal	Predator length mid-class
