"Richness"	"Exposure"	"NAP"	"Beach"	"Site"
11	10	0.045	1	1
10	10	-1.036	1	2
13	10	-1.336	1	3
11	10	0.616	1	4
10	10	-0.684	1	5
8	8	1.19	2	1
9	8	0.82	2	2
8	8	0.635	2	3
19	8	0.061	2	4
17	8	-1.334	2	5
6	11	-0.976	3	1
1	11	1.494	3	2
4	11	-0.201	3	3
3	11	-0.482	3	4
3	11	0.167	3	5
1	11	1.768	4	1
3	11	-0.03	4	2
3	11	0.46	4	3
1	11	1.367	4	4
4	11	-0.811	4	5
3	10	1.117	5	1
22	10	-0.503	5	2
6	10	0.729	5	3
0	10	1.627	5	4
6	10	0.054	5	5
5	11	-0.578	6	1
4	11	-0.348	6	2
1	11	2.222	6	3
6	11	-0.893	6	4
4	11	0.766	6	5
2	11	0.883	7	1
1	11	1.786	7	2
1	11	1.375	7	3
3	11	-0.06	7	4
4	11	0.367	7	5
3	10	1.671	8	1
5	10	-0.375	8	2
7	10	-1.005	8	3
5	10	0.17	8	4
0	10	2.052	8	5
7	10	-0.356	9	1
11	10	0.094	9	2
3	10	-0.002	9	3
0	10	2.255	9	4
2	10	0.865	9	5
