chrom	start	end	K2P
LG_2	61204840	61212964	0.02021959724146876
LG_2	61219360	61221366	0.05383516039021001
LG_2	61236795	61241286	0.005135601913733081
LG_2	61241905	61249226	0.0010020043433575715
LG_2	61268475	61269268	0.08076261263811445
LG_2	61337049	61348048	0.00471560908843013
LG_2	61365365	61372328	0.02599020030788341
LG_2	61382447	61389344	0.06172168443043261
LG_2	61396331	61407449	0.008004980763852285
LG_2	61413022	61414052	0.09843103588491493
LG_N	28376214	28383994	0.007919674664026351
LG_2	61420513	61420863	0.03730505124560905
LG_2	61436215	61437580	0.08999065528909217
LG_2	61489102	61499036	0.09452240329267221
LG_2	61522834	61525105	0.08311516633266335
LG_2	61549232	61560275	0.00463366913212643
LG_2	61562687	61571904	0.045530723866851655
LG_2	61587565	61598437	0.047068549824399675
LG_2	61620897	61638939	0.013035070293624114
LG_2	61696692	61703952	0
LG_2	61726675	61737717	0.006908540021639686
LG_N	28441753	28443913	0.03611884237496556
LG_2	61761650	61772687	0.04231800991549785
LG_2	61813171	61817955	0.03130069395701974
LG_2	61828015	61835556	0
LG_2	61875222	61882442	0.05526012712079542
LG_2	61889241	61895901	0.010031168215103975
LG_2	61966497	61978351	0.04667221362109691
LG_2	61986247	61993708	0.016733541054177535
LG_2	61996262	62007291	0.005816691779491032
LG_2	62011672	62017034	0.029745711044373714
LG_2	62025451	62032313	0.008918328064574425
LG_N	28460742	28464876	0.015248606827208125
LG_2	62053575	62060181	0.01823876915445191
LG_2	62063216	62074264	0.01392254095519699
LG_2	62081043	62086203	0.0022371381240488385
LG_2	62103735	62114759	0.008174582762796619
LG_2	62133276	62137750	0.0030808797535230767
LG_2	62158065	62165733	0.0020161317639692256
LG_2	62166374	62170833	0.09136276473387174
LG_2	62180915	62186105	0
LG_2	62190146	62190496	0.05859375722137028
LG_2	62194302	62204889	0.01435040330584259
LG_N	28496606	28497095	0.03017797658041834
LG_2	62224480	62232706	0.010711385585199455
LG_2	62238820	62243958	0.015505118371280161
